Title,Year,Domain,IsPM,Dimension,Present
Bridging the knowledgeŒaction gap: A framework for co-producing actionable knowledge,2024,Environmental / Energy,False,CR,True
Big data analytics: transforming data to action,2017,Process Mining / BPM,True,CR,True
AWARENESS-IN-ACTION: A Critical Integralism for the Challenges of Our Times,2013,Public Policy / Governance,False,CR,True
An Open-Source Tool-Box for Asset Management Based on the Asset Condition for the Power System,2025,Healthcare / Clinical,False,CR,True
An Age-Based Framework for Evaluating Genome-Scale Sequencing Results in Newborn Screening,2019,Healthcare / Clinical,False,CR,True
AI-Driven Whole-Exome Sequencing: Advancing Variant Interpretation and Precision Medicine,2025,Healthcare / Clinical,False,CR,True
Actionable mutations in early-stage ovarian cancer according to the ESMO Scale for Clinical Actionability of molecular Targets (ESCAT): a descriptive analysis on a large prospective cohort,2025,Healthcare / Clinical,False,CR,True
Actionable Knowledge: Design Causality in the Service of Consequential Theory,1996,Education / Learning,False,CR,True
A semiquantitative metric for evaluating clinical actionability of incidental or secondary findings from genome-scale sequencing,2016,Healthcare / Clinical,False,CR,True
A look into travel motivation post-crisis: Insights from means-end chain theory,2025,Healthcare / Clinical,False,CR,True
A framework to rank genomic alterations as targets for cancer precision medicine: the ESMO Scale for Clinical Actionability of molecular Targets (ESCAT),2018,Healthcare / Clinical,False,CR,True
A framework for genomic biomarker actionability and its use in clinical decision making,2014,Healthcare / Clinical,False,CR,True
Transforming disease data into ‚actionable intelligence™,2025,Healthcare / Clinical,False,CR,True
Actionable Knowledge Discovery and Delivery,2012,Explainable AI / ML,False,CR,True
Geopolitical Forecasting and Actionable Intelligence,2022,Public Policy / Governance,False,CR,True
Knowledge and Policy: research Œ information Œ intervention,2007,Education / Learning,False,CR,True
Actionable Insights in Urban Multivariate Time-series,2021,Explainable AI / ML,False,CR,True
Communication of Actionable Information,2014,Healthcare / Clinical,False,CR,True
Generating Actionable Insights from Patient Medical Records and Structured Clinical Knowledge,2024,Healthcare / Clinical,False,CR,True
The future of artificial intelligence in intensive care: moving from predictive to actionable AI,2023,Healthcare / Clinical,False,CR,True
Actionable Intelligence,2010,Education / Learning,False,CR,True
Explainability: Actionable Information Extraction,2024,Education / Learning,False,CR,True
"Domain-Driven, Actionable Knowledge Discovery",2007,Public Policy / Governance,False,CR,True
Delivering actionable information,2004,Explainable AI / ML,False,CR,True
A Process n,2025,Process Mining / BPM,True,CR,False
Relational Calculus for Actionable Knowledge,2022,Explainable AI / ML,False,CR,True
Grand Challenges in Visual Analytics Applications,2023,Education / Learning,False,CR,True
Towards Visual Analytics for Explainable AI in Industrial Applications,2025,Explainable AI / ML,False,CR,True
The Value of Information Visualization,2008,Explainable AI / ML,False,CR,True
The Value of Visualization,2005,Explainable AI / ML,False,CR,True
White-Box Prediction of Process Performance Indicators via Flow Analysis,2017,Process Mining / BPM,True,CR,False
Process Mining Practices: Evidence from Interviews,2022,Process Mining / BPM,True,CR,False
Process Mining Manifesto,2012,Process Mining / BPM,True,CR,True
Process Mining Challenges Perceived by Analysts: An Interview Study,2022,Process Mining / BPM,True,CR,True
Process Mining and Verification of Properties: An Approach based on Temporal Logic,2005,Process Mining / BPM,True,CR,False
Process mining and lean six sigma: a novel approach to analyze the supply chain quality of a hospital,2021 (journal record); manuscript uploaded 2022,Healthcare / Clinical,False,CR,True
Prescriptive process monitoring: Quo vadis?,2022,Process Mining / BPM,True,CR,True
Predicting process performance: A white n box approach based on process models,2019,Process Mining / BPM,True,CR,True
PEM4PPM: A Cognitive Perspective on the Process of Process Mining,2023,Education / Learning,False,CR,True
Process Science: The Interdisciplinary Study of Continuous Change,2021,Process Mining / BPM,True,CR,True
Improving Process Mining Maturity Œ From Intentions to Actions,2024,Process Mining / BPM,True,CR,True
Identifying Process Improvement Opportunities through Process Execution Benchmarking,2025,Process Mining / BPM,True,CR,True
From Process Mining Insights to Process Improvement: All Talk and No Action?,2024,Process Mining / BPM,True,CR,True
From Loss of Interest to Denial: A Study on the Terminators of Process Mining Initiatives,2024,Process Mining / BPM,True,CR,True
Explaining Change with Digital Trace Data: A Framework for Temporal Bracketing,2023,Process Mining / BPM,True,CR,False
An assisted approach to business process redesign,2022,Process Mining / BPM,True,CR,True
A Framework to Support the Validation of Process Mining Inquiries,2024,Process Mining / BPM,True,CR,True
AI-augmented Business Process Management Systems: A Research Manifesto,2023,Process Mining / BPM,True,CR,True
Action-oriented process mining: bridging the gap between insights and actions,2022,Process Mining / BPM,True,CR,True
A visual approach to support process analysts in working with process improvement opportunities,2023,Process Mining / BPM,True,CR,True
"A General Process Mining Framework for Correlating, Predicting and Clustering Dynamic Behavior Based on Event Logs",2015,Process Mining / BPM,True,CR,True
The Action Engine Œ Turning Process Insights into Action,2019,Process Mining / BPM,True,CR,True
A General Framework for Action-Oriented Process Mining,2020,Process Mining / BPM,True,CR,True
A study into the contingencies of process improvement methods,2022,Healthcare / Clinical,False,CR,True
Process Mining: A Guide for Practitioners,2022,Process Mining / BPM,True,CR,False
Discovery of Improvement Opportunities in Knock-Out Checks of Business Processes,2023,Process Mining / BPM,True,CR,True
Aggregating Event Knowledge Graphs for Task Analysis,2023,Process Mining / BPM,True,CR,False
Multi-perspective Concept Drift Detection: Including the Actor Perspective,2024,Process Mining / BPM,True,CR,False
BPMN in healthcare: Challenges and best practices,2022,Healthcare / Clinical,False,CR,True
The biggest business process management problems to solve before we die,2023,Healthcare / Clinical,False,CR,False
On the Origin of Questions in Process Mining Projects,2022,Process Mining / BPM,True,CR,False
Supporting Provenance and Data Awareness in Exploratory Process Mining,2023,Process Mining / BPM,True,CR,False
Preface: Special Issue on Knowledge Representation and Reasoning for Healthcare Processes,2023,Healthcare / Clinical,False,CR,True
Enhancing Discovered Process Models with Data Object Lifecycles,2021,Healthcare / Clinical,False,CR,False
A Fresh Approach to Analyze Process Outcomes,2023,Process Mining / BPM,True,CR,True
Defining and visualizing process execution variants from partially ordered event data,2024,Process Mining / BPM,True,CR,False
Leveraging Digital Trace Data to Investigate and Support Human-Centered Work Processes,2024,Healthcare / Clinical,False,CR,False
Explaining Process Dynamics: A Process Mining Context Taxonomy for Sense-Making,2025,Process Mining / BPM,True,CR,True
Exploring Object Centric Process Mining with MIMIC IV: Unlocking Insights in Healthcare,2024,Healthcare / Clinical,False,CR,False
"Even If Explanations: Prior Work, Desiderata & Benchmarks for Semi-Factual XAI",2023,Explainable AI / ML,False,CR,True
Decomposing Counterfactual Explanations for Consequential Decision Making,2022,Education / Learning,False,CR,True
An Actionability Assessment Tool for Explainable AI,2024,Healthcare / Clinical,False,CR,True
"The Art and Science of Cause and Effect (Epilogue to *Causality: Models, Reasoning, and Inference*, 2nd ed.)",2009 (lecture delivered 1996),Explainable AI / ML,False,CR,True
"Explainable Artificial Intelligence (XAI): Concepts, Taxonomies, Opportunities and Challenges toward Responsible AI",2020,Education / Learning,False,CR,True
RetainVis: Visual Analytics with Interpretable and Interactive Recurrent Neural Networks on Electronic Medical Records,2019,Healthcare / Clinical,False,CR,False
DACE: Distribution-Aware Counterfactual Explanation by Mixed-Integer Linear Optimization,2020,Education / Learning,False,CR,True
Explainable AI: A Review of Machine Learning Interpretability Methods,2021,Education / Learning,False,CR,True
Counterfactual Explanations and Algorithmic Recourses for Machine Learning: A Review,2024,Education / Learning,False,CR,True
Navigating explanatory multiverse through counterfactual path geometry,2025,Education / Learning,False,CR,True
Medical-informed machine learning: integrating prior knowledge into medical decision systems,2024,Healthcare / Clinical,False,CR,True
An Explanatory Model Steering System for Collaboration between Domain Experts and AI,2024,Healthcare / Clinical,False,CR,True
Explanation User Interfaces: A Systematic Literature Review,2025,Healthcare / Clinical,False,CR,True
DECE: Decision Explorer with Counterfactual Explanations for Machine Learning Models,2021,Healthcare / Clinical,False,CR,True
Data-Driven Simulation in Process Mining: Introducing a Reference Model,2023,Process Mining / BPM,True,CR,True
What Constitutes an fiActionable Insightfl in Learning Analytics?,2018,Education / Learning,False,CR,True
What Clinicians Want: Contextualizing Explainable Machine Learning for Clinical End Use,2019,Healthcare / Clinical,False,CR,True
"Visual Analytics: Definition, Process, and Challenges",2008,Transportation / Logistics,False,CR,True
"The role of explainability in creating trustworthy artificial intelligence for health care: a comprehensive survey of the terminology, design choices, and evaluation strategies",2020,Healthcare / Clinical,False,CR,True
The GuideLine Interchange Format: A Model for Representing Guidelines,1998,Healthcare / Clinical,False,CR,True
Illuminating the Path: The Research and Development Agenda for Visual Analytics,2005,Visual Analytics; HumanŒComputer Interaction; Data Science,False,CR,False
Predictive Business Process Monitoring with LSTM Neural Networks,2017,Process Mining / BPM,True,CR,False
Planning for Action: The Impact of an Asthma Action Plan Decision Support Tool Integrated into an Electronic Health Record (EHR) at a Large Health Care System,2015,Healthcare / Clinical,False,CR,True
The GuideLine Implementability Appraisal (GLIA): Development of an instrument to identify obstacles to guideline implementation,2005,Healthcare / Clinical,False,CR,True
Knowledge Generation Model for Visual Analytics,2014,Process Mining / BPM,True,CR,True
On Sense Making and the Generation of Knowledge in Visual Analytics,2022,Explainable AI / ML,False,CR,True
On Counterfactual Explanations under Predictive Multiplicity,2020,Education / Learning,False,CR,True
Modelling and quantifying the behaviours of students in lecture capture environments,2014,Education / Learning,False,CR,True
Health digital state and Smart EHR systems,2020,Healthcare / Clinical,False,CR,True
From Data Mining to Knowledge Discovery in Databases,1996,Explainable AI / ML,False,CR,True
Explanation in Artificial Intelligence: Insights from the Social Sciences,2018,Explainable AI / ML,False,CR,True
Explainable Matrix Œ Visualization for Global and Local Interpretability of Random Forest Classification Ensembles,2021,Education / Learning,False,CR,True
Explainable machine learning algorithms to identify predictors of intention to use family planning among women of reproductive-age in Ethiopia: Evidence from the Performance Monitoring and Accountability (PMA) 2021 survey data set,2025,Healthcare / Clinical,False,CR,False
Evaluating the Quality of Machine Learning Explanations: A Survey on Methods and Metrics,2021,Education / Learning,False,CR,True
Decision Support Systems: The Next Decade,1987,Explainable AI / ML,False,CR,True
Co-Designing a Real-Time Classroom Orchestration Tool to Support TeacherŒAI Complementarity,2019,Education / Learning,False,CR,True
Clinical Practice Guidelines: A Manual for Developing Evidence-Based Guidelines to Facilitate Performance Measurement and Quality Improvement,2006,Healthcare / Clinical,False,CR,True
Seeking Truth and Actionable Knowledge: How the Scientific Method Inhibits Both,,Education / Learning,False,CR,True
A Survey of Algorithmic Recourse: Contrastive Explanations and Consequential Recommendations,2021,Education / Learning,False,CR,True
A Modified LIME and Its Application to Explain Service Supply Chain Forecasting,2019,Explainable AI / ML,False,CR,False
Towards Understanding the Role of the Human in Event Log Extraction,2022,Process Mining / BPM,True,CR,False
On the Trade-offs between Adversarial Robustness and Actionable Explanations,2024,Education / Learning,False,CR,True
FACE: Feasible and Actionable Counterfactual Explanations,2020,Education / Learning,False,CR,True
Evaluating the understandability and actionability of online CKD educational materials,2024,Healthcare / Clinical,False,CR,True
Directive Explanations for Actionable Explainability in Machine Learning Applications,2023,Explainable AI / ML,False,CR,True
Evaluating Online and Offline Health Information With the Patient Education Materials Assessment Tool: Protocol for a Systematic Review,2025,Healthcare / Clinical,False,CR,True
Counterfactual Explanations Without Opening the Black Box: Automated Decisions and the GDPR,2018,Explainable AI / ML,False,CR,True
Assessing the understandability and actionability of online resources for patients undergoing hemodialysis,2025,Healthcare / Clinical,False,CR,True
Predictive monitoring of business processes: a survey,2017,Education / Learning,False,CR,True
Where Did I Misbehave? Diagnostic Information in Compliance Checking,2012,Process Mining / BPM,True,CR,True
Outlier Detection Techniques for Process Mining Applications,2008,Process Mining / BPM,True,CR,False
Algorithms for Anomaly Detection of Traces in Logs of Process Aware Information Systems,2013,Process Mining / BPM,True,CR,False
Addressing the Contemporary Challenges of Business Process Compliance: The Case for Process Mining in the Banking Industry,2025,Process Mining / BPM,True,CR,True
Integrated Exploration of Data-Intensive Business Processes [Extended Abstract],2022,Process Mining / BPM,True,FE,False
"Actionable Knowledge Discovery for Increasing Enterprise Profit, Using Domain Driven-Data Mining",2019,Data Mining / AKD,False,FE,True
"A framework for analyzing the relationships between cancer patient satisfaction, nurse care, patient attitude, and nurse attitude in healthcare systems",2022,Healthcare / Clinical,False,FE,False
YarnSense: Automated Data Storytelling for Multimodal Learning Analytics,2024,Education / Learning,False,FE,True
Why-Not Explainable Graph Recommender,2024,Explainable AI / ML,False,FE,True
When Rigor Meets Relevance: the Development of Hybrid Actionable Knowledge Production Systems,2023,Education / Learning,False,FE,True
What Is fiActionablefl Science for Climate and Environment?,2023,Explainable AI / ML,False,FE,True
What About Her? Increasing the Actionability of HUMINT in Paternalistic Cultures by Considering Female Intelligence,2022,Healthcare / Clinical,False,FE,True
User Perceptions of Actionability in Data Dashboards,2023,Public Policy / Governance,False,FE,True
TriCTI: an actionable cyber threat intelligence discovery system via trigger-enhanced neural network,2022,Explainable AI / ML,False,FE,True
Towards User Guided Actionable Recourse,2023,Explainable AI / ML,False,FE,True
Towards an Extensible Web Usage Mining Framework for Actionable Knowledge,2017,Data Mining / AKD,False,FE,True
Actionable Recommendations in the Bright Futures Child Health Supervision Guidelines,2014,Healthcare / Clinical,False,FE,True
The Heuristic Uses of Four 'Knows' for Managing Knowledge in Education,,Education / Learning,False,FE,True
The Emerging Role of Global Situational Awareness 2.0 Resources in Disaster Response,2010,Healthcare / Clinical,False,FE,True
The assessment of urban eco-efficiency of Brazilian municipalities based on directional distance functions,2025,Explainable AI / ML,False,FE,True
Telling stories: Exploring the relationship between myths and ecological wisdom,2016,Environmental / Energy,False,FE,True
Supporting school leadership decision making with holistic school analytics: Bridging the qualitative-quantitative divide using fuzzy-set qualitative comparative analysis,2018,Education / Learning,False,FE,True
Stream Reasoning for the Internet of Things: Challenges and Gap Analysis,2016,Explainable AI / ML,False,FE,True
SmartReviews: Towards Human- and Machine-Actionable Representation of Review Articles,2021,Software / Systems,False,FE,True
Smart computing based student performance evaluation framework for engineering education,2017,Education / Learning,False,FE,True
Situation Recognition Using EventShop,2016,Explainable AI / ML,False,FE,True
"Sharing science through shared values, goals, and stories: an evidence-based approach to making science matter",2021,Explainable AI / ML,False,FE,True
Secondary findings from next-generation sequencing: what does actionable in childhood really mean?,2019,Healthcare / Clinical,False,FE,True
Return of non-ACMG recommended incidental genetic findings to pediatric patients: considerations and opportunities from experiences in genomic sequencing,2022,Healthcare / Clinical,False,FE,True
Reconciling evidence-based medicine and precision medicine in the era of big data: challenges and opportunities,2016,Healthcare / Clinical,False,FE,True
Prospective Longitudinal ctDNA Workflow Reveals Clinically Actionable Alterations in Ovarian Cancer,2019,Healthcare / Clinical,False,FE,True
Policy Helix and Antecedents of Cybersecurity Policymaking Agility,2023,Public Policy / Governance,False,FE,True
PIK3R1 W624R Is an Actionable Mutation in High Grade Serous Ovarian Carcinoma,2020,Healthcare / Clinical,False,FE,True
Opportunity Map: A Visualization Framework for Fast Identification of Actionable Knowledge,2005,Software / Systems,False,FE,True
Ontological Approach in the Smart Data Paradigm as a Basis for Open Data Semantic Markup,2023,Explainable AI / ML,False,FE,True
"Next-generation sequencing, should I use anti-HER2 therapy for HER2-amplified tumors off-label? Illustrating an extrapolation framework",2022,Healthcare / Clinical,False,FE,True
Navigating Uncertainty: Challenges in Visualizing Ensemble Data and Surrogate Models for Decision Systems,2025,Explainable AI / ML,False,FE,True
Multi-Institutional Evaluation of Interrater Agreement of Biomarker-Drug Pair Rankings Based on the ESMO Scale for Clinical Actionability of Molecular Targets (ESCAT) and Sources of Discordance,2025,Healthcare / Clinical,False,FE,True
"Metrics for What, Metrics for Whom: Assessing Actionability of Bias Evaluation Metrics in NLP",2024,Explainable AI / ML,False,FE,True
Managing social media recovery: The important role of service recovery transparency in retaining customers,2022,Finance / Economics,False,FE,False
Machine Learning-Based Framework for the Analysis of Project Viability,2018,Education / Learning,False,FE,True
Learning analytics dashboard: a tool for providing actionable insights to learners,2022,Education / Learning,False,FE,True
Latent classes from complex assessments: What do they tell us?,2020,Education / Learning,False,FE,True
Knowledge Fusion for Distributed Situational Awareness driven by the WAx Conceptual Framework,2021,Explainable AI / ML,False,FE,True
Investigating the electric vehicle adoption initiatives for achieving sustainable development goals,2025,Education / Learning,False,FE,True
Individual and Group-level considerations of Actionable Recourse,2023,Education / Learning,False,FE,True
In Search of an Alternative Framework for the Creation of Actionable Knowledge: Table-Tennis Research at Ericsson,2001,Organizational Studies,False,FE,True
Implementing evidence-based assertions of clinical actionability in the context of secondary findings: Updates from the ClinGen Actionability Working Group,2024,Healthcare / Clinical,False,FE,True
Identifying actionable strategies: using Consolidated Framework for Implementation Research (CFIR)-informed interviews to evaluate the implementation of a multilevel intervention to improve colorectal cancer screening,2021,Healthcare / Clinical,False,FE,True
"Human Resources-Based Organizational Data Mining (HRODM): Themes, Trends, Focus, Future",2023,"Human Resource Management, Data Science",False,FE,True
How Clinicians Conceptualize fiActionabilityfl in Genomic Screening,2023,Healthcare / Clinical,False,FE,True
Genomically matched therapy in refractory colorectal cancer according to ESMO Scale for Clinical Actionability of Molecular Targets: experience of a comprehensive cancer centre network,2023,Healthcare / Clinical,False,FE,True
Generic Project Definitions for Improvement of Health Care Delivery: A Case-Based Approach,2011,Healthcare / Clinical,False,FE,True
Big data and technology assessment: research topic or competitor?,2017,Education / Learning,False,FE,True
Facilitation of Entrepreneurial Discovery Processes by Policymakers: An Actionable Definition of Roles and Challenges,2023,Education / Learning,False,FE,True
Explaining Aggregate Behaviour in Cognitive Agent Simulations Using Explanation,2019,Explainable AI / ML,False,FE,True
Evidential Reasoning Approach for Predicting Popularity of Instagram Posts,2024,Explainable AI / ML,False,FE,True
Enhancing Student Digital Skills: Adopting an Ecosystemic School Analytics Approach,2017,Education / Learning,False,FE,True
Enhancing Enterprise Decisions through Organizational Data Mining,2002,Finance / Economics,False,FE,True
Efficient Action Extraction with Many-to-Many Relationship between Actions and Features,2011,Explainable AI / ML,False,FE,True
Efficacy of molecularly targeted agents given in the randomised trial SHIVA01 according to the ESMO Scale for Clinical Actionability of molecular Targets,2019,Healthcare / Clinical,False,FE,True
Dissecting Generalizability and Actionability of Disease-Associated Genes From 20 Worldwide Ethnolinguistic Cultural Groups,2022,Healthcare / Clinical,False,FE,True
Development of the Patient Education Materials Assessment Tool (PEMAT): A new measure of understandability and actionability for print and audiovisual patient information,2014,Healthcare / Clinical,False,FE,True
Development of actionable quality indicators and an action implementation toolbox for appropriate antibiotic use at intensive care units: A modified-RAND Delphi study,2018,Healthcare / Clinical,False,FE,True
Development of Actionable Insights for Regulating Students™ Collaborative Writing of Scientific Texts,2022,Education / Learning,False,FE,False
Development and Actionability of the Dutch COVID-19 Dashboard: Descriptive Assessment and Expert Appraisal Study,2021,Healthcare / Clinical,False,FE,True
Design of Information and Warfare Analytics using MapReduce and Machine Learning,2017,Education / Learning,False,FE,True
Defining and Conceptualizing Actionable Insight: A Conceptual Framework for Decision-centric Analytics,2015,Explainable AI / ML,False,FE,True
Decision making for health-related research outcomes that alter diagnosis: A model from paediatric brain tumours,2024,Healthcare / Clinical,False,FE,True
Data-Driven Machine Learning-Informed Framework for Model Predictive Control in Vehicles,2025,Education / Learning,False,FE,True
Data Driven Science for Clinically Actionable Knowledge in Diseases,2024,Healthcare / Clinical,False,FE,True
Creating actionable knowledge one step at a time: An analytical framework for tracing systems and agency in niche innovation pathways,2023,Environmental / Energy,False,FE,True
"Coproducing water-energy-food Nexus actionable knowledge: Lessons from a multi-actor collaborative learning school in Uganda, East Africa",2025,Education / Learning,False,FE,True
Conceptual Framework for Prescriptive Analytics Based on Decision Theory in Smart Factories,2023,Environmental / Energy,False,FE,True
Competitive intelligence embeddedness: Drivers and performance consequences,2019,Finance / Economics,False,FE,False
CARE: Coherent Actionable Recourse based on Sound Counterfactual Explanations,2021,Healthcare / Clinical,False,FE,True
Bridging the knowledgeŒaction gap: A framework for co-producing actionable knowledge,2024,Environmental / Energy,False,FE,True
Big data analytics: transforming data to action,2017,Process Mining / BPM,True,FE,True
AWARENESS-IN-ACTION: A Critical Integralism for the Challenges of Our Times,2013,Public Policy / Governance,False,FE,True
An Open-Source Tool-Box for Asset Management Based on the Asset Condition for the Power System,2025,Healthcare / Clinical,False,FE,True
An Age-Based Framework for Evaluating Genome-Scale Sequencing Results in Newborn Screening,2019,Healthcare / Clinical,False,FE,True
AI-Driven Whole-Exome Sequencing: Advancing Variant Interpretation and Precision Medicine,2025,Healthcare / Clinical,False,FE,True
Actionable mutations in early-stage ovarian cancer according to the ESMO Scale for Clinical Actionability of molecular Targets (ESCAT): a descriptive analysis on a large prospective cohort,2025,Healthcare / Clinical,False,FE,True
Actionable Knowledge: Design Causality in the Service of Consequential Theory,1996,Education / Learning,False,FE,True
A semiquantitative metric for evaluating clinical actionability of incidental or secondary findings from genome-scale sequencing,2016,Healthcare / Clinical,False,FE,True
A look into travel motivation post-crisis: Insights from means-end chain theory,2025,Healthcare / Clinical,False,FE,True
A framework to rank genomic alterations as targets for cancer precision medicine: the ESMO Scale for Clinical Actionability of molecular Targets (ESCAT),2018,Healthcare / Clinical,False,FE,True
A framework for genomic biomarker actionability and its use in clinical decision making,2014,Healthcare / Clinical,False,FE,True
Transforming disease data into ‚actionable intelligence™,2025,Healthcare / Clinical,False,FE,True
Actionable Knowledge Discovery and Delivery,2012,Explainable AI / ML,False,FE,True
Geopolitical Forecasting and Actionable Intelligence,2022,Public Policy / Governance,False,FE,True
Knowledge and Policy: research Œ information Œ intervention,2007,Education / Learning,False,FE,True
Actionable Insights in Urban Multivariate Time-series,2021,Explainable AI / ML,False,FE,True
Communication of Actionable Information,2014,Healthcare / Clinical,False,FE,True
Generating Actionable Insights from Patient Medical Records and Structured Clinical Knowledge,2024,Healthcare / Clinical,False,FE,True
The future of artificial intelligence in intensive care: moving from predictive to actionable AI,2023,Healthcare / Clinical,False,FE,True
Actionable Intelligence,2010,Education / Learning,False,FE,True
Explainability: Actionable Information Extraction,2024,Education / Learning,False,FE,True
"Domain-Driven, Actionable Knowledge Discovery",2007,Public Policy / Governance,False,FE,True
Delivering actionable information,2004,Explainable AI / ML,False,FE,True
A Process n,2025,Process Mining / BPM,True,FE,False
Relational Calculus for Actionable Knowledge,2022,Explainable AI / ML,False,FE,True
Grand Challenges in Visual Analytics Applications,2023,Education / Learning,False,FE,True
Towards Visual Analytics for Explainable AI in Industrial Applications,2025,Explainable AI / ML,False,FE,True
The Value of Information Visualization,2008,Explainable AI / ML,False,FE,True
The Value of Visualization,2005,Explainable AI / ML,False,FE,True
White-Box Prediction of Process Performance Indicators via Flow Analysis,2017,Process Mining / BPM,True,FE,False
Process Mining Practices: Evidence from Interviews,2022,Process Mining / BPM,True,FE,False
Process Mining Manifesto,2012,Process Mining / BPM,True,FE,True
Process Mining Challenges Perceived by Analysts: An Interview Study,2022,Process Mining / BPM,True,FE,False
Process Mining and Verification of Properties: An Approach based on Temporal Logic,2005,Process Mining / BPM,True,FE,False
Process mining and lean six sigma: a novel approach to analyze the supply chain quality of a hospital,2021 (journal record); manuscript uploaded 2022,Healthcare / Clinical,False,FE,True
Prescriptive process monitoring: Quo vadis?,2022,Process Mining / BPM,True,FE,True
Predicting process performance: A white n box approach based on process models,2019,Process Mining / BPM,True,FE,True
PEM4PPM: A Cognitive Perspective on the Process of Process Mining,2023,Education / Learning,False,FE,True
Process Science: The Interdisciplinary Study of Continuous Change,2021,Process Mining / BPM,True,FE,False
Improving Process Mining Maturity Œ From Intentions to Actions,2024,Process Mining / BPM,True,FE,True
Identifying Process Improvement Opportunities through Process Execution Benchmarking,2025,Process Mining / BPM,True,FE,True
From Process Mining Insights to Process Improvement: All Talk and No Action?,2024,Process Mining / BPM,True,FE,True
From Loss of Interest to Denial: A Study on the Terminators of Process Mining Initiatives,2024,Process Mining / BPM,True,FE,True
Explaining Change with Digital Trace Data: A Framework for Temporal Bracketing,2023,Process Mining / BPM,True,FE,False
An assisted approach to business process redesign,2022,Process Mining / BPM,True,FE,True
A Framework to Support the Validation of Process Mining Inquiries,2024,Process Mining / BPM,True,FE,True
AI-augmented Business Process Management Systems: A Research Manifesto,2023,Process Mining / BPM,True,FE,True
Action-oriented process mining: bridging the gap between insights and actions,2022,Process Mining / BPM,True,FE,True
A visual approach to support process analysts in working with process improvement opportunities,2023,Process Mining / BPM,True,FE,True
"A General Process Mining Framework for Correlating, Predicting and Clustering Dynamic Behavior Based on Event Logs",2015,Process Mining / BPM,True,FE,True
The Action Engine Œ Turning Process Insights into Action,2019,Process Mining / BPM,True,FE,True
A General Framework for Action-Oriented Process Mining,2020,Process Mining / BPM,True,FE,True
A study into the contingencies of process improvement methods,2022,Healthcare / Clinical,False,FE,True
Process Mining: A Guide for Practitioners,2022,Process Mining / BPM,True,FE,False
Discovery of Improvement Opportunities in Knock-Out Checks of Business Processes,2023,Process Mining / BPM,True,FE,True
Aggregating Event Knowledge Graphs for Task Analysis,2023,Process Mining / BPM,True,FE,False
Multi-perspective Concept Drift Detection: Including the Actor Perspective,2024,Process Mining / BPM,True,FE,False
BPMN in healthcare: Challenges and best practices,2022,Healthcare / Clinical,False,FE,True
The biggest business process management problems to solve before we die,2023,Healthcare / Clinical,False,FE,False
On the Origin of Questions in Process Mining Projects,2022,Process Mining / BPM,True,FE,False
Supporting Provenance and Data Awareness in Exploratory Process Mining,2023,Process Mining / BPM,True,FE,False
Preface: Special Issue on Knowledge Representation and Reasoning for Healthcare Processes,2023,Healthcare / Clinical,False,FE,False
Enhancing Discovered Process Models with Data Object Lifecycles,2021,Healthcare / Clinical,False,FE,False
A Fresh Approach to Analyze Process Outcomes,2023,Process Mining / BPM,True,FE,True
Defining and visualizing process execution variants from partially ordered event data,2024,Process Mining / BPM,True,FE,False
Leveraging Digital Trace Data to Investigate and Support Human-Centered Work Processes,2024,Healthcare / Clinical,False,FE,False
Explaining Process Dynamics: A Process Mining Context Taxonomy for Sense-Making,2025,Process Mining / BPM,True,FE,True
Exploring Object Centric Process Mining with MIMIC IV: Unlocking Insights in Healthcare,2024,Healthcare / Clinical,False,FE,False
"Even If Explanations: Prior Work, Desiderata & Benchmarks for Semi-Factual XAI",2023,Explainable AI / ML,False,FE,True
Decomposing Counterfactual Explanations for Consequential Decision Making,2022,Education / Learning,False,FE,True
An Actionability Assessment Tool for Explainable AI,2024,Healthcare / Clinical,False,FE,True
"The Art and Science of Cause and Effect (Epilogue to *Causality: Models, Reasoning, and Inference*, 2nd ed.)",2009 (lecture delivered 1996),Explainable AI / ML,False,FE,True
"Explainable Artificial Intelligence (XAI): Concepts, Taxonomies, Opportunities and Challenges toward Responsible AI",2020,Education / Learning,False,FE,True
RetainVis: Visual Analytics with Interpretable and Interactive Recurrent Neural Networks on Electronic Medical Records,2019,Healthcare / Clinical,False,FE,False
DACE: Distribution-Aware Counterfactual Explanation by Mixed-Integer Linear Optimization,2020,Education / Learning,False,FE,True
Explainable AI: A Review of Machine Learning Interpretability Methods,2021,Education / Learning,False,FE,True
Counterfactual Explanations and Algorithmic Recourses for Machine Learning: A Review,2024,Education / Learning,False,FE,True
Navigating explanatory multiverse through counterfactual path geometry,2025,Education / Learning,False,FE,True
Medical-informed machine learning: integrating prior knowledge into medical decision systems,2024,Healthcare / Clinical,False,FE,True
An Explanatory Model Steering System for Collaboration between Domain Experts and AI,2024,Healthcare / Clinical,False,FE,True
Explanation User Interfaces: A Systematic Literature Review,2025,Healthcare / Clinical,False,FE,True
DECE: Decision Explorer with Counterfactual Explanations for Machine Learning Models,2021,Healthcare / Clinical,False,FE,True
Data-Driven Simulation in Process Mining: Introducing a Reference Model,2023,Process Mining / BPM,True,FE,True
What Constitutes an fiActionable Insightfl in Learning Analytics?,2018,Education / Learning,False,FE,True
What Clinicians Want: Contextualizing Explainable Machine Learning for Clinical End Use,2019,Healthcare / Clinical,False,FE,True
