Title,Year,Discipline/Domain,Subdomain/Topic,Eligible,Actionability Term Used,Need Without Definition,Contains Definition,Contains Features/Dimensions,Contains Framework/Model,Operationalization Present,CL,CR,FE,TI,EX,GA,Overall Relevance Score,Operationalization Score,General Summary of the Paper,How Understood,What Makes Actionable,How Achieved,Quotes_TermUsed,Quotes_NeedWODef,Quotes_WhatMakes,Quotes_Dimensions,Quotes_Supporting,Domain
Prescriptive process monitoring: Quo vadis?,2022,Process Mining / Business Process Management / Data Science,Prescriptive process monitoring; interventions; policies; causality; SLR and framework,"Eligible (Implicit treatment of what makes recommendations usable and effective; emphasis on effective, timely, feasible interventions and explainability)",No,Yes,No,Yes,Yes,Yes,True,True,True,True,True,True,72,64,"The article studies prescriptive process monitoring methods that recommend runtime interventions to prevent negative outcomes or improve performance. Using a systematic literature review of 37 papers, it categorizes methods by objectives (outcome vs. efficiency), intervention perspectives (control
n
flow vs. resource), data inputs, modeling techniques, and policies to trigger interventions. It provides a framework (with figures) mapping these characteristics and illustrates common policies such as similarity thresholds, probability
n
based alarms with cost/benefit trade
n
offs, and user
n
defined rules. The paper identifies major gaps: lack of in
n
vivo validation, limited exploration of causal policies and second
n
order effects, scant explainability (especially of policies), narrow focus on temporal KPIs, and inconsistent terminology (pp. 2Œ4, 11Œ18, 20Œ22).:contentReference[oaicite:9]{index=9}

---","Implicitly: information (predictions) must be paired with *effective, feasible, timely* interventions and a *policy* that decides *when* and *what* to prescribe, ideally considering *causal impact*, *costs*, *resource availability*, and *second
n
order effects*, and being *explainable* to end
n
users (pp. 3Œ4, 13Œ20).:contentReference[oaicite:16]{index=16} 

> fiAn alarm is raised that can lead to an intervention- evaluate the cost model and mitigation effectiveness before triggering interventions.fl (p. 4):contentReference[oaicite:17]{index=17} 

> fiOnly a few existing methods take causality into account- need to explain why- recommends a given intervention- prediction explanation and policy explanation.fl (pp. 19Œ20):contentReference[oaicite:18]{index=18}

---","- **Effectiveness of intervention:** 

 > fiBenefits- realized if- prescribe effective interventions that are followed.fl (p. 3):contentReference[oaicite:19]{index=19}

- **Causal impact (not mere correlation):** 

 > fiDeveloping policy design techniques that take causality into account.fl (p. 20):contentReference[oaicite:20]{index=20}

- **Feasibility & cost trade
n
off:** 

 > fiEvaluates- cost model- intervention, undesired outcome, compensation- and the mitigation effectiveness.fl (p. 4; also pp. 13Œ15):contentReference[oaicite:21]{index=21}

- **Resource availability / capacity constraints:** 

 > Policies consider firesource availabilityfl when prescribing interventions (pp. 13, 15).:contentReference[oaicite:22]{index=22}

- **Timeliness (when to trigger):** 

 > fiIntervention frequency- continuous or discrete- triggered only when- probability- exceeds a defined threshold.fl (pp. 11Œ13, 15):contentReference[oaicite:23]{index=23}

- **Explainability to end
n
users:** 

 > fiAbility to explain- prediction- and- policy- is unexplored.fl (pp. 19Œ20):contentReference[oaicite:24]{index=24}

- **Consideration of second
n
order effects & user acceptance:** 

 > Interventions can be fiineffective or counter
n
productive- second
n
order effects- need- human judgment and iterative policy validation (e.g., A/B testing).fl (p. 19):contentReference[oaicite:25]{index=25}

---","- **Framework/Approach Name(s):** 

 Multi
n
dimensional *Prescriptive Process Monitoring Framework* (Figs. 2Œ3) mapping objectives, targets, intervention perspective, inputs, feature encoding, modeling technique, policy, intervention frequency, purpose (pp. 14Œ17).:contentReference[oaicite:26]{index=26}

- **Methods/Levers:** 

 Prediction models (e.g., DT, RF, LSTM), similarity/kNN, causal estimation (e.g., CATE), cost models, user
n
defined policies (pp. 11Œ15).:contentReference[oaicite:27]{index=27}

- **Operational Steps / Workflow:** 

 (i) Detect risk/goal; (ii) estimate outcome probability; (iii) evaluate intervention effectiveness & costs; (iv) check constraints/resources; (v) trigger prescription via policy (thresholds/rules/similarity); (vi) possibly iterate/validate (pp. 4, 13Œ15, 19).:contentReference[oaicite:28]{index=28}

- **Data & Measures:** 

 Control
n
flow, resource, temporal, domain
n
specific features; targets include outcome violation, cycle/processing time, cost, revenue, defect rate (pp. 9Œ13, 15Œ17).:contentReference[oaicite:29]{index=29}

- **Implementation Context:** 

 Cross
n
domain exemplars; often evaluated on real or synthetic logs; limited in
n
vivo trials (pp. 9Œ12, 17Œ19).:contentReference[oaicite:30]{index=30} 

> fiAn alarm- probability of a negative outcome- cost model- mitigation effectiveness before triggering interventions.fl (p. 4):contentReference[oaicite:31]{index=31}

---",[],[],"[('fiBenefits- realized if- prescribe effective interventions that are followed.fl (p. 3):contentReference[oaicite:19]{index=19}', ''), ('fiDeveloping policy design techniques that take causality into account.fl (p. 20):contentReference[oaicite:20]{index=20}', ''), ('fiEvaluates- cost model- intervention, undesired outcome, compensation- and the mitigation effectiveness.fl (p. 4; also pp. 13Œ15):contentReference[oaicite:21]{index=21}', ''), ('Policies consider firesource availabilityfl when prescribing interventions (pp. 13, 15).:contentReference[oaicite:22]{index=22}', ''), ('fiIntervention frequency- continuous or discrete- triggered only when- probability- exceeds a defined threshold.fl (pp. 11Œ13, 15):contentReference[oaicite:23]{index=23}', ''), ('fiAbility to explain- prediction- and- policy- is unexplored.fl (pp. 19Œ20):contentReference[oaicite:24]{index=24}', ''), ('Interventions can be fiineffective or counter', '')]",[],[],Process Mining / BPM
Predicting process performance: A white n box approach based on process models,2019,Business Process Management / Process Mining,"Predictive Process Monitoring, White-box Prediction, Flow Analysis",Eligible,No,Yes,No,No,Yes,Yes,True,True,True,True,True,True,75,85,"This paper proposes a white-box predictive process monitoring framework that predicts quantitative process performance indicatorsŠspecifically, remaining cycle timeŠby decomposing predictions into activity-level estimates and aggregating them via flow analysis. The approach begins by discovering a structured process model from historical event logs, then trains regression models for activity cycle times and classification models for branching probabilities at decision points. At runtime, partial traces of ongoing cases are aligned with the process model, and remaining time formulas are generated and evaluated. Three variants are presented: predictive flow analysis, mean flow analysis, and adaptive flow analysis. The method is evaluated on nine real-life event logs against black-box and other baseline methods. Results show the white-box approach often achieves comparable or better accuracy while enhancing interpretability, allowing analysts to identify bottlenecks and target interventions.

---","**Implicit** Š Actionability is implied as the ability to understand *where* in the process predicted performance issues will occur, enabling targeted managerial interventions.

> The white-box decomposition fi...allows users not only to make predictions but also to explain themfl (p. 23), facilitating operational adjustments.

---","- **Traceable to specific activities:** 

 > fi...determine to what extent each activity contributes to the predictionfl (p. 3)

- **Pinpoint bottlenecks:** 

 > fi...business analysts can pinpoint the bottlenecks... and provide better recommendationsfl (p. 24)

- **Operationally relevant granularity:** 

 > fi...explain in which parts of the process the remaining time will be spentfl (p. 3)

---","- **Framework/Approach Name(s):** White-box predictive process monitoring via flow analysis

- **Methods/Levers:** Discover process models, decompose performance indicators into activity-level components, train regression/classification models, align partial traces, aggregate via flow formulas.

- **Operational Steps / Workflow:** (1) Discover process model; (2) Train regressors and classifiers; (3) Align ongoing case traces; (4) Generate flow formulas; (5) Predict and aggregate activity-level values.

- **Data & Measures:** Event logs (case and event attributes), cycle times, branching probabilities.

- **Implementation Context:** Applicable to structured process models discovered from logs.

> fi...first predict the performance indicator at the level of activities and then aggregate these predictions... by means of flow analysis techniques.fl (p. 1)

---",[],"[('fi...business analysts can pinpoint the bottlenecks in the process execution and provide better recommendations to keep the process compliant with the performance standards.fl', '(p. 24)')]","[('fi...determine to what extent each activity contributes to the predictionfl', '(p. 3)'), ('fi...business analysts can pinpoint the bottlenecks... and provide better recommendationsfl', '(p. 24)'), ('fi...explain in which parts of the process the remaining time will be spentfl', '(p. 3)')]",[],[],Process Mining / BPM
PEM4PPM: A Cognitive Perspective on the Process of Process Mining,2023,Information Systems / Process Mining,"Cognitive perspectives in process mining, Prediction Error Minimization (PEM) theory application",Eligible,No,No,No,Yes,Yes,Yes,True,True,True,False,True,True,85,78,"The paper develops and validates the PEM4PPM model, a cognitive framework for understanding how process mining analysts approach analysis tasks. Drawing on Prediction Error Minimization (PEM) theory from cognitive science, the authors map cognitive stepsŠsuch as goal setting, attention focusing, hypothesis generation, and testingŠonto concrete process mining operations. The research involved two participant groups: students and experienced analysts, whose think-aloud protocols, screen interactions, and tool logs were analyzed. The study identified four analyst strategies (NNN, WNN, WWN, WWW), showing that those following the full cognitive process (WWW) achieved significantly higher performance. The work provides both a conceptual model and an operational analysis protocol, with implications for training analysts and improving PM tools.

---","N/A Œ actionability is not addressed.

---","N/A Œ not discussed.

---","While actionability per se is not targeted, the paper operationalizes cognitive process modeling:

- **Framework/Approach Name(s):** PEM4PPM model 

- **Methods/Levers:** Mapping PEM cognitive steps to process mining tasks; think-aloud protocols; coding of analyst behavior 

- **Operational Steps / Workflow:** Task understanding 
®
 Goal setting/refinement 
®
 Focusing attention 
®
 Exploration 
®
 Data interpretation 
®
 Hypothesis generation/testing 
®
 Results assessment 
®
 Conclusion 

- **Data & Measures:** Multimodal datasets (verbal utterances, screen recordings, Disco logs), performance grading, statistical testing 

- **Implementation Context:** Process mining analysis tasks in research settings with students and professionals 

> fiWe validated the PEM4PPM v2 model- describing the cognitive steps- their explanation, example statements, and detection method.fl (p. 474Œ475)

---",[],[],[],[],[],Education / Learning
Process Science: The Interdisciplinary Study of Continuous Change,2021,Information Systems / Interdisciplinary (process studies),Process science; discoveryŒexplanationŒintervention; digital trace data; interdisciplinarity,Not Eligible,No,Yes,No,No,Yes,"Partial Š outlines discovery, explanation, intervention phases",False,True,False,False,True,True,20,25,"The paper introduces fiprocess sciencefl as an interdisciplinary field dedicated to studying coherent series of changes that unfold over time at multiple levels. The authors position processesŠrather than objectsŠas the primary unit of analysis and argue for a process
n
first perspective to understand contemporary phenomena. They outline three core activities of process science: discovery (capturing and describing processes via event/trace data), explanation (understanding how and why processes unfold), and intervention (shaping processes toward desired directions). A framework figure (page 4) summarizes the field™s focus, objectives, and perspectives, and tables describe activities, methods, and contributing disciplines. Process mining is highlighted as an exemplar that bridges data, theory, and practice. :contentReference[oaicite:5]{index=5}:contentReference[oaicite:6]{index=6}

---","Implicit: usefulness is equated with the ability to **intervene** in and **influence** processes based on causalŒtemporal understanding. 

> fiWhen we know why and how a specific process unfolds, we are better prepared to re
n
direct and change it.fl (p. 5) :contentReference[oaicite:9]{index=9}

---","*(Implicitly inferred; the paper does not use fiactionable.fl)* 

- Property/Condition: **CausalŒtemporal understanding enabling intervention** 

 > fiExplanation aims at understanding- how and why processes unfold- [which] enables predictions- and- interventions.fl (p. 5) :contentReference[oaicite:10]{index=10} 

- Property/Condition: **Goal
n
directed design of measures** 

 > fiInterventions are based on an envisioned goal- and can include one or many measures to interfere with how the process seems likely to unfold.fl (p. 5) :contentReference[oaicite:11]{index=11}

---","*(Partial, via the process science activity model; not framed as fiactionability.fl)* 

- **Framework/Approach Name(s):** Process Science Activities (Discovery, Explanation, Intervention) Š see Table 2 and the framework diagram (p. 4). :contentReference[oaicite:12]{index=12} 

- **Methods/Levers:** Event/trace data capture; process mining; qualitative sense
n
making; design
n
oriented research to develop and evaluate interventions. :contentReference[oaicite:13]{index=13} 

- **Operational Steps / Workflow:** Capture processes (discovery) 
®
 explain cause
n
effect relations and context (explanation) 
®
 design/evaluate interventions against goals (intervention). :contentReference[oaicite:14]{index=14} 

- **Data & Measures:** Time
n
stamped fievent datafl from digital traces; complementary contextual data. :contentReference[oaicite:15]{index=15} 

- **Implementation Context:** Socio
n
technical processes across human, social, environmental, political, economic, technological perspectives. :contentReference[oaicite:16]{index=16} 

> fiProcess science progresses by systematically making use of various and novel data sources- ‚event data™- to infer when they took place.fl (p. 6) :contentReference[oaicite:17]{index=17}

---",[],[],"[('fiExplanation aims at understanding- how and why processes unfold- [which] enables predictions- and- interventions.fl (p. 5) :contentReference[oaicite:10]{index=10}', ''), ('fiInterventions are based on an envisioned goal- and can include one or many measures to interfere with how the process seems likely to unfold.fl (p. 5) :contentReference[oaicite:11]{index=11}', '')]",[],[],Process Mining / BPM
Improving Process Mining Maturity Œ From Intentions to Actions,2024,"Business Process Management, Process Mining","Maturity Models, Process Mining Adoption",Yes,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,True,True,True,90,85,"The paper develops a multi-factor maturity model for process mining (P3M) to assist organizations in increasing their process mining readiness. The model consists of five factors and 23 elements, with five maturity stages. The authors conducted interviews with practitioners to identify actions that organizations can take to improve their process mining maturity. The research highlights how organizations can overcome common implementation challenges, such as lack of management support, poor data quality, and ineffective integration of process mining tools into existing processes. It provides both a theoretical framework and practical steps for organizations to enhance their process mining maturity and effectively manage process dynamics.","Actionability is understood as the ability of organizations to successfully implement process mining through structured readiness assessments and the adoption of actionable improvement steps derived from the maturity model. The paper emphasizes that closing the gap between the intention to adopt process mining and the actual implementation requires practical guidance on how to enhance organizational capabilities and resources. 

> fiThe process mining maturity model provides a roadmap for organizations to turn their intentions into actionable steps, ensuring that process mining can be implemented sustainablyfl (p. 3). 

> fiOrganizations need concrete actions that they can take to improve their readiness for process mining across the different maturity factorsfl (p. 11).","For process mining to be actionable, the authors identify several key factors that organizations must address:

- Organizational embedding of process mining initiatives 

- Access to high-quality process and event data 

- Knowledge and training for individuals involved in process mining 

- Governance structures that support process mining implementation and scaling 

> fiThe organizational embedding of process mining is a key success factor that enables actionability within organizationsfl (p. 11). 

> fiData accessibility, quality, and governance are fundamental prerequisites for actionable process miningfl (p. 14).",,[],[],"[('fiThe organizational embedding of process mining is a key success factor that enables actionability within organizationsfl (p. 11).', ''), ('fiData accessibility, quality, and governance are fundamental prerequisites for actionable process miningfl (p. 14).', '')]",[],[],Process Mining / BPM
Identifying Process Improvement Opportunities through Process Execution Benchmarking,2025,Process Mining / Business Process Management,Process Execution Benchmarking; Process Improvement; Activity Replacement,Eligible,Yes,Yes,Partial Œ framed as ficoncrete process modifications- expected to improve performancefl (p. 14),Yes,Yes,Yes,True,True,True,False,True,True,88,90,"The paper introduces a prescriptive process execution benchmarking technique that identifies specific, plausible process modifications to improve performance by comparing event logs from an organization™s own process and a benchmark process. Unlike descriptive approaches that visualize differences, this method produces a ranked list of activity replacements, each evaluated for feasibility and performance impact. The technique involves computing behavioral footprints, matching activities across logs, combining compatible replacements, and quantifying feasibility and performance improvements. An evaluation using synthetic data shows high precision and recall in identifying true replacements, with higher feasibility scores than random baselines. A case study with SAP Signavio purchasing process data demonstrates practical applicability, revealing both beneficial and detrimental modifications. 

---","Implicit definition: Actionable changes are ficoncrete process modifications- expected to improve performancefl and fibehaviorally plausible- with feasibility and performance measuresfl (pp. 2, 14). 

---","- **Concrete and implementable:** 

 > fiBehaviorally plausible process modifications- associated with a feasibility and performance assessmentfl (p. 5) 

- **Evidence-based:** 

 > fiEmpirical evidence from the benchmark logfl (p. 9) 

- **Performance-oriented:** 

 > fiIndicating the potential benefits of the changefl (p. 10) 

- **Contextually relevant:** 

 > fiSame process type- standardized activity namesfl (p. 5) 

---","- **Framework/Approach Name(s):** Process Execution Benchmarking Technique 

- **Methods/Levers:** Behavioral footprint analysis, activity matching, compatibility graph, feasibility and performance impact scoring 

- **Operational Steps / Workflow:** 

 1. Compute behavioral footprints 

 2. Match activities between logs 

 3. Combine compatible matches 

 4. Assess feasibility (alignment-based similarity) 

 5. Assess performance impact (performance metric differences) 

- **Data & Measures:** Event logs with standardized activity names and performance metrics; edit similarity; throughput time differences 

- **Implementation Context:** Demonstrated in synthetic experiments and a case study with SAP purchasing process logs 

 > fiOutputs a list of process changes- can be filtered, prioritized, and selectedfl (p. 10) 

---",[],[],"[('fiBehaviorally plausible process modifications- associated with a feasibility and performance assessmentfl', '(p. 5)'), ('fiEmpirical evidence from the benchmark logfl', '(p. 9)'), ('fiIndicating the potential benefits of the changefl', '(p. 10)'), ('fiSame process type- standardized activity namesfl', '(p. 5)')]",[],[],Process Mining / BPM
From Process Mining Insights to Process Improvement: All Talk and No Action?,2024,Business Process Management / Process Mining,Process improvement; Insights-to-action translation; Systematic literature review,Eligible,Yes,Yes,No,Yes,Yes,Yes,True,True,True,False,True,True,85,70,"The paper addresses the gap between process mining insights and their translation into actual process improvements. Through a systematic literature review of 57 case studies, the authors categorize 156 quotes into 226 action codes, producing a taxonomy of actions organized into three main themes: (i) supporting process understanding and documentation, (ii) improving the involved information system, and (iii) improving the investigated process. Actions span multiple intervention spaces, from updating documentation and training staff to automating system features and redesigning processes. The study highlights a many-to-many relationship between insights and actions, as well as a gap between recommended and performed actions. The contribution is a structured firealm of actionsfl that can complement existing process mining methodologies and guide practitioners in planning post-insight interventions.

---","Implicitly understood as the **ability to convert process mining insights into concrete, feasible improvement actions** targeting processes, systems, documentation, communication, or training.

---","- **Clear linkage to an insight**: 

 > fiWe investigate which types of actions- and to which insights these actions are linked.fl (p. 275) 

- **Feasibility**: 

 > fiThe recommendations are made by experienced professionals in the field and- can be considered as feasible.fl (p. 281) 

- **Targeted intervention**: 

 > fiThe aspects of the organization that are affected by the actions- may not only concern the process itself.fl (p. 276) 

---","- **Framework/Approach Name(s):** Not named as a formal framework, but delivers a taxonomy of actions.

- **Methods/Levers:** Inductive content analysis, open coding of case study reports.

- **Operational Steps / Workflow:** Identify insights 
®
 extract related quotes 
®
 code into verb-object pairs 
®
 categorize into intervention spaces and themes.

- **Data & Measures:** 156 quotes from 57 papers; coded into 226 actions.

- **Implementation Context:** Process mining application case studies across industries.

---",[],"[('fiUnderstanding this realm of actions is a valuable aspect to complement existing process mining methodologies.fl', '(p. 276)'), ('fiBy understanding which actions- organizations can more easily identify the best path toward process improvement.fl', '(p. 276)')]","[('fiWe investigate which types of actions- and to which insights these actions are linked.fl', '(p. 275)'), ('fiThe recommendations are made by experienced professionals in the field and- can be considered as feasible.fl', '(p. 281)'), ('fiThe aspects of the organization that are affected by the actions- may not only concern the process itself.fl', '(p. 276)')]",[],[],Process Mining / BPM
From Loss of Interest to Denial: A Study on the Terminators of Process Mining Initiatives,2024,Information Systems / Business Process Management,"Process Mining, Process Improvement, Implementation Barriers",Eligible,Yes,Yes,No,Yes,Yes,Yes,True,True,True,False,True,True,80,70,"This study explores why recommended actions derived from process mining insights often fail to be implemented. Using a systematic literature review of 57 case-based papers and 17 expert interviews, the authors quantify the extent of performed actions and uncover reasons for inaction. They identify five main fiterminatorsfl Œ laborious data preparation, loss of interest, lack of expertise, lack of incentive, and denial of insights Œ and classify them into three overarching dimensions: data-related, project-related, and insight-related. The findings highlight how technical, organizational, and psychological factors interact to stall process improvement efforts. Recommendations include streamlining data preparation, ensuring the involvement of decision-makers with end-to-end process authority, and creating stakeholder incentives for action.

---","Implicitly framed as the transition from **recommended actions** (derived from process mining insights) to **performed actions** that lead to process improvement.

---","- **Requires clear recommendations linked to insights** 

 > fiAnalysts typically use the insights to recommend actions, which then need to be performed- by process owners or management.fl (p. 371) 

- **Feasibility in terms of data accessibility and preparation** 

 > fiLaborious data preparation- making data preparation- too long [and] the project was eventually stopped.fl (p. 377) 

- **Stakeholder interest and priority** 

 > fiThere were more important projects to deal with- stakeholders ended up losing interest.fl (p. 378) 

- **Availability of expertise to implement changes** 

 > fiThe organization did not have the expertise to make the required changes- and did not want to invest in a consultant.fl (p. 380) 

- **Alignment with stakeholder incentives** 

 > fiNo action was taken- there was no financial incentive- implementing the action would result in decreased income.fl (p. 378) 

- **Acceptance of insights** 

 > fiPreferred to say they do not believe process mining results rather than to admit they were wrong.fl (p. 379) 

---","- **Framework/Approach Name(s):** None named specifically; operationalization via combined SLR and interviews. 

- **Methods/Levers:** Identification of recommended vs performed actions, categorization by type of insight (data quality, wait time, rework, discovered process, compliance). 

- **Operational Steps / Workflow:** Data collection 
®
 open coding 
®
 categorization 
®
 synthesis of causes. 

- **Data & Measures:** 57 peer-reviewed papers; 17 interview transcripts; coding of recommended/performed actions. 

- **Implementation Context:** Multiple industries and geographies. 

---",[],[],"[('fiAnalysts typically use the insights to recommend actions, which then need to be performed- by process owners or management.fl', '(p. 371)'), ('fiLaborious data preparation- making data preparation- too long [and] the project was eventually stopped.fl', '(p. 377)'), ('fiThere were more important projects to deal with- stakeholders ended up losing interest.fl', '(p. 378)'), ('fiThe organization did not have the expertise to make the required changes- and did not want to invest in a consultant.fl', '(p. 380)'), ('fiNo action was taken- there was no financial incentive- implementing the action would result in decreased income.fl', '(p. 378)'), ('fiPreferred to say they do not believe process mining results rather than to admit they were wrong.fl', '(p. 379)')]",[],[],Process Mining / BPM
Explaining Change with Digital Trace Data: A Framework for Temporal Bracketing,2023,Information Systems / Process Mining,"Temporal bracketing, digital trace data, organizational change, computationally intensive theorizing",Not Eligible,No,No,No,No,Yes,Yes,False,False,False,False,False,False,30,40,"The paper introduces a framework for applying temporal bracketing to digital trace data to explain organizational change by integrating contextual information. Temporal bracketing divides a process into discrete, connected stages (brackets) to examine changes over time. The proposed framework comprises four steps: data preparation, identification of brackets, analysis and sensemaking, and validation and evaluationŠeach using human and computational sensemaking in a recursive, iterative manner. An illustrative case analyzes the onboarding process of a financial institution, identifying change periods, measuring impacts on process performance, and demonstrating the value of integrating context with computational analysis. The paper concludes with theoretical and practical implications, limitations, and avenues for future research.

---","N/A

---","N/A

---","N/A

---",[],[],[],[],[],Process Mining / BPM
An assisted approach to business process redesign,2022,Business Process Management / Decision Support Systems,"Assisted business process redesign, reference architecture, redesign patterns, process improvement tools",Eligible,Yes,Yes,No,Yes,Yes,Yes,True,True,True,True,True,True,82,85,"This paper presents the ABPR concept and reference architecture, designed to improve business processes by guiding users through redesign patterns in a structured, tool-supported way. The approach classifies recommendations into four automation levels, from basic pattern suggestions to fully automated redesign options, integrating simulation, data analysis, and domain knowledge. A prototype based on the Camunda Modeler demonstrates the concept, and its applicability is validated through expert interviews, controlled studies, and a real-world case at KUKA. The results show ABPR™s ability to generate feasible, performance-objective-aligned redesign options, highlighting strengths in structured guidance, integration of expert knowledge, and flexible data use, though challenges remain in data preparation and pattern coverage.

---","Implicitly: An actionable recommendation in this context is a redesign suggestion that is feasible, context-aware, aligned with performance objectives, and supported by guidance or automation to move from idea to implementable option. 

> fi-assist the redesign process: low, moderate, elevated, and high [automation levels]-resulting in redesign options that may improve the process-depending on the evaluation outcome.fl (p. 4)

---","- **Feasibility & Data Fit** 

 > fi-patterns are recommended that have proven useful for achieving the performance objective-while no instructions-can be given at this high abstraction level, this recommendation type encourages the user to think about possible applicationsfl (p. 4)

- **Alignment with Performance Objectives** 

 > fi-support determining the anticipated effect of process redesign options on-performance objectives to compare alternative process designsfl (p. 4)

- **Integration of Domain Knowledge** 

 > fi-interactive customization of process improvement opportunities to address specific use cases and incorporate the user™s domain knowledgefl (p. 4)

- **Guided Application Process** 

 > fi-support structured guidance along the phases of process redesignfl (p. 4)

- **Evaluability via Simulation and Expert Judgment** 

 > fi-evaluate the performance of these alternative modelsfl (p. 4)

---","- **Framework/Approach Name(s):** Assisted Business Process Redesign (ABPR)

- **Methods/Levers:** Structured four-step process (select patterns, identify process parts, create alternatives, evaluate performance); four automation levels (AL1ŒAL4).

- **Operational Steps / Workflow:** Identify patterns 
®
 Match to process parts 
®
 Generate alternative models 
®
 Simulate & evaluate.

- **Data & Measures:** Process models, event logs, simulation data, performance objectives (time, cost, quality, flexibility).

- **Implementation Context:** BPM tool (Camunda Modeler) with GUI, recommendation provider, simulation manager, and redesign handlers.

> fi-present their results as redesign recommendations-highlight a few top recommendations-estimate each recommendation™s impact according to the selected performance objective.fl (p. 5)

---","[('fi-make actionable suggestions for redesigning business processesfl', '(p. 1)'), ('fi-provide the user with a basis for decision-makingfl', '(p. 4)')]","[('fi-it is questionable to what extent such tool-based approaches can-make actionable suggestions for redesigning business processesfl', '(p. 1)')]","[('fi-patterns are recommended that have proven useful for achieving the performance objective-while no instructions-can be given at this high abstraction level, this recommendation type encourages the user to think about possible applicationsfl', '(p. 4)'), ('fi-support determining the anticipated effect of process redesign options on-performance objectives to compare alternative process designsfl', '(p. 4)'), ('fi-interactive customization of process improvement opportunities to address specific use cases and incorporate the user™s domain knowledgefl', '(p. 4)'), ('fi-support structured guidance along the phases of process redesignfl', '(p. 4)'), ('fi-evaluate the performance of these alternative modelsfl', '(p. 4)')]",[],[],Process Mining / BPM
A Framework to Support the Validation of Process Mining Inquiries,2024,Process Mining / Business Process Management,"Result Validation, Exploratory Analysis, Meta-analysis Support",Eligible (implicit conceptualization only; no explicit use of fiactionabilityfl),No,Yes,No,Yes,Yes,Yes,True,True,True,True,True,True,45,80,"This paper proposes LogView, a modular Python framework for validating, comparing, and tracing query results in exploratory process mining. It addresses limitations of existing tools, which typically display only one filtered view of a log at a time and require manual tracking. LogView stores queries, complements, and results in a registry; supports set-level and element-level characterization; and allows intersection-based comparison between result sets. The framework is demonstrated on the Road Traffic Fine Management log, showing how it can reveal overlaps, dependencies, and unexplored subsets in payment outcomes.

---","Implicitly: A result is fiactionablefl if it is well-characterized, compared against relevant baselines, and traceable to its source, enabling informed refinement of analysis.

---","- Clear identification of result set properties

- Contextual comparison to a reference log

- Traceability of queries and results

- Identification of overlaps and dependencies

---","- **Framework/Approach Name:** LogView 

- **Methods/Levers:** Query execution with complement sets; registry for traceability; characterization and comparison components 

- **Operational Steps:** 

 1. Execute query 
®
 store result + complement 

 2. Characterize against reference log 

 3. Compare to other sets via intersection matrices 

 4. Visualize overlaps 

- **Implementation Context:** Python library, extensible via plug-ins

---",[],[],[],[],[],Process Mining / BPM
AI-augmented Business Process Management Systems: A Research Manifesto,2023,Information Systems / Business Process Management,"AI-augmented BPM Systems, Process Automation, Explainability, Adaptation",Eligible,Yes,No,Yes,Yes,Yes,Yes,True,True,True,True,True,True,92,88,"This manifesto defines AI-augmented Business Process Management Systems (ABPMSs) as process-aware systems that leverage trustworthy AI to autonomously adapt, improve, explain, and optimize business processes in real time. The authors present the ABPMS lifecycle, consisting of framing, enacting, perceiving, reasoning, explaining, adapting, and improving processes. They identify five core characteristics Š framed autonomy, conversational actionability, adaptability, self-improvement, and explainability Š and detail the AI capabilities needed to realize them. The paper proposes several research challenges, including situation-aware explainability, augmented automation, automated adaptation, perspective agility, and actionable conversations. The goal is to bridge AI and BPM to create systems that operate effectively in dynamic, uncertain environments while maintaining trust, compliance, and performance optimization.

---","> fiConversationally actionable, i.e., able to proactively communicate with human agents about process-related actions, goals, and intentions, using natural language possibly enhanced with richer interfaces- ‚Actionable™ means that the ABPMS makes concrete recommendations to the user and engages in a discussion about their benefits and drawbacks.fl (p. 7Œ8)

---","- **Proactive Communication** 

 > fiAble to proactively communicate with human agents about process-related actions, goals, and intentionsfl (p. 7) 

- **Concrete Recommendations** 

 > fi‚Actionable™ means that the ABPMS makes concrete recommendations to the user and engages in a discussion about their benefits and drawbacks.fl (p. 8) 

- **Context-Sensitive Interaction** 

 > fiInitiates conversations with users in order to inform them of process progression, alert them of relevant process changes- and make recommendations for interventionsfl (p. 13) 

---","- **Framework/Approach Name(s):** ABPMS Lifecycle (Fig. 1) 

- **Methods/Levers:** Conversational interfaces, proactive recommendation generation, real-time monitoring, AI-driven reasoning. 

- **Operational Steps / Workflow:** Frame 
®
 Enact 
®
 Perceive 
®
 Reason 
®
 (Explain / Adapt / Improve) with conversational interaction integrated. 

- **Data & Measures:** KPIs, constraints, goals, contextual process data. 

- **Implementation Context:** Applicable across diverse process domains with varying levels of autonomy and framing flexibility. 

> fiThe ABPMS could present requested information as an interactive dashboard and recommend inspection of some erroneous cases- engage in a discussion to eventually find counter-measures.fl (p. 8)

---",[],[],"[('fiAble to proactively communicate with human agents about process-related actions, goals, and intentionsfl', '(p. 7)'), ('fi‚Actionable™ means that the ABPMS makes concrete recommendations to the user and engages in a discussion about their benefits and drawbacks.fl', '(p. 8)'), ('fiInitiates conversations with users in order to inform them of process progression, alert them of relevant process changes- and make recommendations for interventionsfl', '(p. 13)')]",[],[],Process Mining / BPM
